pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1397 b,Kepler-1397,0.2602,1.61,1.13,1.61,1.13,76.59092104,24.74659216
Kepler-1398 c,Kepler-1398,,1.03,1.18,1.03,1.18,125.017125,0
Kepler-1399 b,Kepler-1399,,1.25,0.96,1.25,0.96,83.80809031,0
Kepler-140 b,Kepler-140,0.045,1.61,1.29,1.61,1.29,87.43565323,3.748947474
Kepler-140 c,Kepler-140,0.414,1.8,1.29,1.8,1.29,78.20633427,34.49031676
Kepler-1401 b,Kepler-1401,0.1,1.23,0.95,1.23,0.95,84.28362741,11.31261343
Kepler-1402 b,Kepler-1402,0.0301,0.73,0.8,0.73,0.8,119.58917,4.043552263
Kepler-1406 b,Kepler-1406,,1.1,1.12,1.1,1.12,111.1092106,0
Kepler-1409 b,Kepler-1409,0.0152,1.04,0.86,1.04,0.86,90.23807801,1.89946672
Kepler-141 b,Kepler-141,,0.735,0.78,0.735,0.78,115.8062472,0
Kepler-1416 b,Kepler-1416,0.0257,1.44,1.45,1.44,1.45,109.8829309,1.904810048
Kepler-1417 b,Kepler-1417,0.1431,1,1,1,1,109.1251176,15.37893233
Kepler-142 d,Kepler-142,0.2305,1.43,1.24,1.43,1.24,94.62597609,19.97725424
Kepler-1423 b,Kepler-1423,,1.06,0.75,1.06,0.75,77.21116811,0
Kepler-1424 b,Kepler-1424,,1.16,1.07,1.16,1.07,100.6585136,0
Kepler-1425 b,Kepler-1425,,0.94,0.95,0.94,0.95,110.2860231,0
Kepler-1427 b,Kepler-1427,0.0196,1.09,1.01,1.09,1.01,101.1159346,2.08555309
Kepler-1428 b,Kepler-1428,0.095,1.26,1.05,1.26,1.05,90.93759799,9.723460591
Kepler-1429 b,Kepler-1429,0.0549,1.19,1.03,1.19,1.03,94.45283287,5.72824615
